"GENE"	"MIN_FREQ"	"AVG_USAGE"
"1"	"TRBV1"	Inf	0.000226785989195631
"2"	"TRBV10-1"	0.000660053192521986	0.00456280428812014
"3"	"TRBV10-2"	0.00104831977635845	0.00442363953648384
"4"	"TRBV10-3"	0.0155724310295107	0.0222541876852191
"5"	"TRBV11-1"	0.00123841653499594	0.00264767181810682
"6"	"TRBV11-2"	0.00943487798722603	0.0180655201217432
"7"	"TRBV11-3"	0.0012460563641666	0.00322544638606994
"8"	"TRBV12-1"	Inf	9.80730821301543e-05
"9"	"TRBV12-2"	Inf	0.000320633193896394
"10"	"TRBV12-3"	0.0309058140311061	0.0398799550344588
"11"	"TRBV12-4"	0.00778621551475536	0.0253493816356446
"12"	"TRBV12-5"	0.00129908003923752	0.00393718800901352
"13"	"TRBV13"	0.00460272032573098	0.0106110621564662
"14"	"TRBV14"	0.00747597009611962	0.0138357600850192
"15"	"TRBV15"	0.00925138239047214	0.0133608956078948
"16"	"TRBV16"	0.000506329113924051	0.000988915013044954
"17"	"TRBV17"	Inf	1.1240602117447e-05
"18"	"TRBV18"	0.0122133492761669	0.0188122982733339
"19"	"TRBV19"	0.00936550099953446	0.0166394892080065
"20"	"TRBV2"	0.0174962381612722	0.0360415015976084
"21"	"TRBV20-1"	0.0727379838514052	0.0967776363692711
"22"	"TRBV21-1"	0.00600760963887591	0.0101739873900372
"23"	"TRBV23-1"	0.000906495509200408	0.00272305952077559
"24"	"TRBV24-1"	0.00892145389168744	0.0155203245992555
"25"	"TRBV25-1"	0.00571791613722999	0.00901195765469188
"26"	"TRBV26"	Inf	0.00030615008241722
"27"	"TRBV27"	0.0219186785260483	0.0359943156465943
"28"	"TRBV28"	0.00510554941963448	0.0321245905953115
"29"	"TRBV29-1"	0.0431607171442292	0.0664752860998909
"30"	"TRBV3-1"	0.0201316223719206	0.0349563409284375
"31"	"TRBV3-2"	0.000512448221377632	0.000766586902151649
"32"	"TRBV30"	0.00558502269968985	0.0151679013516817
"33"	"TRBV4-1"	0.00599186132205454	0.0334820044000777
"34"	"TRBV4-2"	0.00310807779807107	0.0164376390165894
"35"	"TRBV4-3"	0.0164787510841284	0.0206924523469184
"36"	"TRBV5-1"	0.0387388253388446	0.0688948253558187
"37"	"TRBV5-3"	Inf	0.000158266112070635
"38"	"TRBV5-4"	0.00133951971423579	0.00560232637879104
"39"	"TRBV5-5"	0.00632874531653433	0.00918455556446067
"40"	"TRBV5-6"	0.0077007051603576	0.0144209828569097
"41"	"TRBV5-7"	Inf	0.000120671921373611
"42"	"TRBV5-8"	0.000525762355415352	0.0013744912730924
"43"	"TRBV6-1"	0.00964465378576693	0.0190827832408145
"44"	"TRBV6-23"	0.0108454056780743	0.0298327543870189
"45"	"TRBV6-4"	0.00172949315261895	0.0059378700678202
"46"	"TRBV6-5"	0.0176040475447898	0.034234546780346
"47"	"TRBV6-6"	0.00696360261314572	0.019041309060243
"48"	"TRBV6-7"	Inf	0.000305289931060504
"49"	"TRBV6-8"	Inf	0.000133552170357869
"50"	"TRBV6-9"	Inf	0.00017602018351359
"51"	"TRBV7-1"	Inf	1.82101457725715e-05
"52"	"TRBV7-2"	0.0236485590816299	0.0484336560003657
"53"	"TRBV7-3"	0.00308689089027969	0.015596308775035
"54"	"TRBV7-4"	0.000500842325729636	0.000579095920657804
"55"	"TRBV7-6"	0.00435771732513057	0.0104560443912439
"56"	"TRBV7-7"	0.00147393380114711	0.00328224651845616
"57"	"TRBV7-8"	0.00771722722569921	0.0186482257967217
"58"	"TRBV7-9"	0.0265793395016807	0.0451058157530271
"59"	"TRBV9"	0.0126677961683826	0.0234241556209074
