"GENE"	"MIN_FREQ"	"AVG_USAGE"
"1"	"TRBV1"	Inf	3.33899465691229e-05
"2"	"TRBV10-1"	0.000509846408769358	0.0043020838153414
"3"	"TRBV10-2"	0.000508001016002032	0.00227133121671643
"4"	"TRBV10-3"	0.00179591836734694	0.0160335758010896
"5"	"TRBV11-1"	0.000573394495412844	0.0154720575855849
"6"	"TRBV11-2"	0.000688073394495413	0.0106924005251386
"7"	"TRBV11-3"	0.00050121126054632	0.0149283007727302
"8"	"TRBV12-34"	0.00633579725448786	0.0533394944462007
"9"	"TRBV12-5"	0.000502765208647562	0.00130341484365085
"10"	"TRBV13"	0.000526038926880589	0.0113506949251546
"11"	"TRBV14"	0.000501781323699132	0.00414672207821965
"12"	"TRBV15"	0.000994958875033165	0.0209338833839937
"13"	"TRBV16"	Inf	9.54788331631252e-05
"14"	"TRBV18"	0.000704390702042733	0.0233922443055229
"15"	"TRBV19"	0.0147290899526565	0.0833629260731945
"16"	"TRBV2"	0.000504244054122195	0.00170468914326355
"17"	"TRBV20-1"	0.00172248803827751	0.0410731137549201
"18"	"TRBV21-1"	0.000501089324618736	0.00313481510230365
"19"	"TRBV23-1"	0.000504244054122195	0.000528186582509765
"20"	"TRBV24-1"	0.000802752293577982	0.0105356665707881
"21"	"TRBV25-1"	0.00050248099993719	0.00181430103946672
"22"	"TRBV26"	Inf	2.91431385024719e-05
"23"	"TRBV27"	0.00886810706223799	0.0481845120985268
"24"	"TRBV28"	0.000539257981018119	0.00853872905005076
"25"	"TRBV29-1"	0.00721153846153846	0.0811299443172853
"26"	"TRBV3-1"	Inf	0.000234803672689292
"27"	"TRBV3-2"	Inf	4.27024508600861e-05
"28"	"TRBV30"	0.00106528686653477	0.0438568598209058
"29"	"TRBV4-1"	0.000505401478299324	0.002345942640807
"30"	"TRBV4-2"	0.000502638853983413	0.00397110035243417
"31"	"TRBV4-3"	0.000563499330844545	0.0054280849046371
"32"	"TRBV5-1"	0.00185464240176191	0.0209780923964328
"33"	"TRBV5-3"	0.000512689054088695	0.00351709688942094
"34"	"TRBV5-4"	0.00141043723554302	0.0293614330704961
"35"	"TRBV5-5"	0.000645577792123951	0.0175849097590267
"36"	"TRBV5-6"	0.00132165868164546	0.0438049509119223
"37"	"TRBV5-7"	0.000501208797688543	0.000807060415755482
"38"	"TRBV5-8"	0.000504710632570659	0.000993880128273971
"39"	"TRBV6-1"	0.00235888795282224	0.0489952148352894
"40"	"TRBV6-23"	0.00455535086250209	0.03564183452422
"41"	"TRBV6-4"	0.00110607233713085	0.0152022412123492
"42"	"TRBV6-5"	0.022974867867544	0.120978989998151
"43"	"TRBV6-6"	0.0019415381296516	0.0316962384821506
"44"	"TRBV6-7"	Inf	0.000403724801166701
"45"	"TRBV6-8"	0.000504710632570659	0.00197879558170597
"46"	"TRBV6-9"	0.000505944852011131	0.00256347427399299
"47"	"TRBV7-1"	Inf	4.553240463116e-05
"48"	"TRBV7-2"	0.00201207243460765	0.0394678334583072
"49"	"TRBV7-3"	0.000504783423873852	0.00904333350367921
"50"	"TRBV7-4"	0.000536065280838644	0.00531738897837356
"51"	"TRBV7-6"	0.000769230769230769	0.0207654133218192
"52"	"TRBV7-7"	0.000526038926880589	0.000874751638172823
"53"	"TRBV7-8"	Inf	0.000409100190956638
"54"	"TRBV7-9"	0.0018348623853211	0.0334889598927822
"55"	"TRBV9"	0.000502838944876281	0.00162975324698614

